item-db-1  | 2024-03-08T01:03:21.231+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=a873e7ce90d6
item-db-1  | 2024-03-08T01:03:22.024+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db-1  | 2024-03-08T01:03:22.024+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db-1  | 2024-03-08T01:03:22.026+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db-1  | 2024-03-08T01:03:22.899+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:50422 #1 (1 connection now open)
item-db-1  | 2024-03-08T01:03:22.905+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:50422 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.5.0-1014-gcp" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1  | 2024-03-08T01:03:31.069+0000 I NETWORK  [conn1] end connection 172.19.0.3:50422 (0 connections now open)
item-db-1  | 2024-03-08T01:03:31.363+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db-1  | 2024-03-08T01:03:31.372+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1  | 2024-03-08T01:03:31.372+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1  | 2024-03-08T01:03:31.373+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-db-1  | 2024-03-08T01:03:31.375+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db-1  | 2024-03-08T01:03:31.508+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db-1  | 2024-03-08T01:03:31.508+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1  | 2024-03-08T01:03:31.508+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
item-db-1  | 2024-03-08T01:04:02.630+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=a873e7ce90d6
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2024-03-08T01:04:02.636+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2024-03-08T01:04:02.637+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1  | 2024-03-08T01:04:02.638+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db-1  | 2024-03-08T01:04:02.638+0000 I STORAGE  [initandlisten] 
item-db-1  | 2024-03-08T01:04:02.638+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1  | 2024-03-08T01:04:02.638+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1  | 2024-03-08T01:04:02.639+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1  | 2024-03-08T01:04:03.722+0000 I STORAGE  [initandlisten] WiredTiger message [1709859843:722019][1:0x7f8a68dd2a40], txn-recover: Main recovery loop: starting at 1/20864
item-db-1  | 2024-03-08T01:04:04.038+0000 I STORAGE  [initandlisten] WiredTiger message [1709859844:38906][1:0x7f8a68dd2a40], txn-recover: Recovering log 1 through 2
item-db-1  | 2024-03-08T01:04:04.175+0000 I STORAGE  [initandlisten] WiredTiger message [1709859844:175754][1:0x7f8a68dd2a40], txn-recover: Recovering log 2 through 2
item-db-1  | 2024-03-08T01:04:04.276+0000 I STORAGE  [initandlisten] WiredTiger message [1709859844:276742][1:0x7f8a68dd2a40], txn-recover: Set global recovery timestamp: 0
item-db-1  | 2024-03-08T01:04:04.351+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-03-08T01:04:04.352+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1  | 2024-03-08T01:04:04.352+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1  | 2024-03-08T01:04:04.352+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-03-08T01:04:04.410+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1  | 2024-03-08T01:04:04.416+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db-1  | 2024-03-08T01:04:04.416+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1  | 2024-03-08T01:04:04.416+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1  | 2024-03-08T01:04:04.922+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:59724 #1 (1 connection now open)
item-db-1  | 2024-03-08T01:04:04.926+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:59724 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.5.0-1014-gcp" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1  | 2024-03-08T01:06:32.622+0000 I NETWORK  [conn1] end connection 172.19.0.3:59724 (0 connections now open)
item-db-1  | 2024-03-08T01:06:33.187+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-app-1  | 
item-db-1   | 2024-03-08T01:06:33.251+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1   | 2024-03-08T01:06:33.251+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1   | 2024-03-08T01:06:33.265+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-db-1   | 2024-03-08T01:06:33.278+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db-1   | 2024-03-08T01:06:33.359+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db-1   | 2024-03-08T01:06:33.359+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1   | 2024-03-08T01:06:33.359+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
item-db-1   | 2024-03-08T01:48:03.624+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=a873e7ce90d6
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] modules: none
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] build environment:
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1   | 2024-03-08T01:48:03.625+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1   | 2024-03-08T01:48:03.626+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db-1   | 2024-03-08T01:48:03.626+0000 I STORAGE  [initandlisten] 
item-db-1   | 2024-03-08T01:48:03.627+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1   | 2024-03-08T01:48:03.627+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1   | 2024-03-08T01:48:03.627+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1   | 2024-03-08T01:48:04.843+0000 I STORAGE  [initandlisten] WiredTiger message [1709862484:843926][1:0x7fb5184aea40], txn-recover: Main recovery loop: starting at 2/6016
item-db-1   | 2024-03-08T01:48:05.258+0000 I STORAGE  [initandlisten] WiredTiger message [1709862485:258619][1:0x7fb5184aea40], txn-recover: Recovering log 2 through 3
item-db-1   | 2024-03-08T01:48:05.491+0000 I STORAGE  [initandlisten] WiredTiger message [1709862485:491258][1:0x7fb5184aea40], txn-recover: Recovering log 3 through 3
item-db-1   | 2024-03-08T01:48:05.645+0000 I STORAGE  [initandlisten] WiredTiger message [1709862485:645909][1:0x7fb5184aea40], txn-recover: Set global recovery timestamp: 0
item-db-1   | 2024-03-08T01:48:05.689+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-03-08T01:48:05.689+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1   | 2024-03-08T01:48:05.689+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1   | 2024-03-08T01:48:05.689+0000 I CONTROL  [initandlisten] 
item-db-1   | 2024-03-08T01:48:05.721+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db-1   | 2024-03-08T01:48:05.723+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
item-app-1  | [0mGET / [32m200 [0m361.129 ms - 785[0m
item-app-1  | 
item-app-1  | > docker-software-delivery@1.0.0 start /app
item-db-1   | 2024-03-08T01:48:05.724+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db-1   | 2024-03-08T01:48:05.724+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db-1   | 2024-03-08T01:48:06.040+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:58836 #1 (1 connection now open)
item-db-1   | 2024-03-08T01:48:06.052+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:58836 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "6.5.0-1014-gcp" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db-1   | 2024-03-08T01:56:04.208+0000 I NETWORK  [conn1] end connection 172.19.0.3:58836 (0 connections now open)
item-db-1   | 2024-03-08T01:56:04.638+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db-1   | 2024-03-08T01:56:04.694+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1   | 2024-03-08T01:56:04.694+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1   | 2024-03-08T01:56:04.699+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
item-db-1   | 2024-03-08T01:56:04.704+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
item-db-1   | 2024-03-08T01:56:04.834+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db-1   | 2024-03-08T01:56:04.834+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1   | 2024-03-08T01:56:04.835+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
item-app-1  | > node ./bin/www
item-app-1  | 
item-app-1  | NODE_ENV: production
item-app-1  | Connected to database
